grib_id,hrap_x,hrap_y,bin_area
475182,999,424,15908917
475183,1000,424,15904237
475184,1001,424,15899553
475185,1002,424,15894867
475186,1003,424,15890177
475187,1004,424,15885485
475188,1005,424,1458068
476286,982,425,26834
476287,983,425,570408
476288,984,425,1237563
476289,985,425,3186657
476290,986,425,84389
476291,987,425,7105472
476292,988,425,15960404
476293,989,425,15964828
476294,990,425,15960172
476295,991,425,15955513
476296,992,425,15950850
476297,993,425,15946184
476298,994,425,15941514
476299,995,425,15936842
476300,996,425,15932166
476301,997,425,15927487
476302,998,425,15922804
476303,999,425,15918118
476304,1000,425,15913429
476305,1001,425,15908737
476306,1002,425,15904041
476307,1003,425,15899343
476308,1004,425,15894641
476309,1005,425,3066425
477406,981,426,4029167
477407,982,426,11921777
477408,983,426,14878751
477409,984,426,14473131
477410,985,426,15990188
477411,986,426,14447603
477412,987,426,15339811
477413,988,426,15978791
477414,989,426,15974130
477415,990,426,15969465
477416,991,426,15964796
477417,992,426,15960125
477418,993,426,15955449
477419,994,426,15950771
477420,995,426,15946089
477421,996,426,15941404
477422,997,426,15936716
477423,998,426,15932024
477424,999,426,15927330
477425,1000,426,15922632
477426,1001,426,15917930
477427,1002,426,15913226
477428,1003,426,15908518
477429,1004,426,15903807
477430,1005,426,4357791
478526,980,427,11502872
478527,981,427,15615793
478528,982,427,16016064
478529,983,427,16011414
478530,984,427,16006760
478531,985,427,16002104
478532,986,427,15997443
478533,987,427,15992779
478534,988,427,15988112
478535,989,427,15983441
478536,990,427,15978767
478537,991,427,15974090
478538,992,427,15969409
478539,993,427,15964725
478540,994,427,15960038
478541,995,427,15955347
478542,996,427,15950653
478543,997,427,15945955
478544,998,427,15941255
478545,999,427,15936551
478546,1000,427,15931844
478547,1001,427,15927133
478548,1002,427,15922420
478549,1003,427,15917703
478550,1004,427,15912983
478551,1005,427,6616184
479644,977,428,2076989
479645,978,428,8494024
479646,979,428,10670993
479647,980,428,13754094
479648,981,428,16030105
479649,982,428,16025449
479650,983,428,16020790
479651,984,428,16016128
479652,985,428,16011462
479653,986,428,16006792
479654,987,428,16002119
479655,988,428,15997443
479656,989,428,15992763
479657,990,428,15988080
479658,991,428,15983394
479659,992,428,15978704
479660,993,428,15974011
479661,994,428,15969314
479662,995,428,15964614
479663,996,428,15959911
479664,997,428,15955205
479665,998,428,15950495
479666,999,428,15945782
479667,1000,428,15941066
479668,1001,428,15936346
479669,1002,428,15931624
479670,1003,428,15926898
479671,1004,428,15922169
479672,1005,428,6157596
480754,966,429,1095544
480755,967,429,151820
480762,974,429,3764
480763,975,429,7757138
480764,976,429,5857914
480765,977,429,13167239
480766,978,429,16053483
480767,979,429,16048829
480768,980,429,16044171
480769,981,429,16039510
480770,982,429,16034845
480771,983,429,16030177
480772,984,429,16025505
480773,985,429,16020830
480774,986,429,16016152
480775,987,429,16011470
480776,988,429,16006784
480777,989,429,16002096
480778,990,429,15997403
480779,991,429,15992708
480780,992,429,15988009
480781,993,429,15983306
480782,994,429,15978601
480783,995,429,15973892
480784,996,429,15969180
480785,997,429,15964464
480786,998,429,15959745
480787,999,429,15955023
480788,1000,429,15950298
480789,1001,429,15945569
480790,1002,429,15940838
480791,1003,429,15936103
480792,1004,429,12667028
480793,1005,429,862221
481872,963,430,4056985
481873,964,430,12641319
481874,965,430,12409617
481875,966,430,15554833
481876,967,430,12372486
481877,968,430,8357093
481878,969,430,11563634
481879,970,430,9437708
481883,974,430,8393513
481884,975,430,16076893
481885,976,430,16072241
481886,977,430,16067585
481887,978,430,16062925
481888,979,430,16058262
481889,980,430,16053595
481890,981,430,16048925
481891,982,430,16044251
481892,983,430,16039574
481893,984,430,16034893
481894,985,430,16030209
481895,986,430,16025521
481896,987,430,16020830
481897,988,430,16016136
481898,989,430,16011438
481899,990,430,16006737
481900,991,430,16002032
481901,992,430,15997324
481902,993,430,15992612
481903,994,430,15987898
481904,995,430,15983179
481905,996,430,15978458
481906,997,430,15973733
481907,998,430,15969005
481908,999,430,15964274
481909,1000,430,15959540
481910,1001,430,15954802
481911,1002,430,15950061
481912,1003,430,15945317
481913,1004,430,12984111
482991,961,431,257
482992,962,431,8870215
482993,963,431,16120692
482994,964,431,16137408
482995,965,431,16132787
482996,966,431,16128162
482997,967,431,16123534
482998,968,431,16118902
482999,969,431,16114266
483000,970,431,15603366
483001,971,431,7180407
483002,972,431,5032580
483003,973,431,3805994
483004,974,431,14346233
483005,975,431,16086374
483006,976,431,16081712
483007,977,431,16077047
483008,978,431,16072378
483009,979,431,16067706
483010,980,431,16063030
483011,981,431,16058351
483012,982,431,16053668
483013,983,431,16048981
483014,984,431,16044292
483015,985,431,16039598
483016,986,431,16034901
483017,987,431,16030201
483018,988,431,16025497
483019,989,431,16020790
483020,990,431,16016080
483021,991,431,16011366
483022,992,431,16006649
483023,993,431,16001928
483024,994,431,15997204
483025,995,431,15992477
483026,996,431,15987747
483027,997,431,15983013
483028,998,431,15978276
